venda_id;vendedor;data_compra;veiculo;valor;comprador;forma_pagamento;;
126;1;11/01/2022;2;300000;5187;cheque;;
127;8;11/01/2022;10;3500000;5261;cheque;;
128;1;12/01/2022;5;200000;6087;cartao;;
129;8;12/01/2022;18;258000;3974;cartao;;
130;8;12/01/2022;2;300000;3639;cartao;;
131;2;12/01/2022;13;1200000;3877;cartao;;
132;8;12/01/2022;24;127000;3231;cartao;;
133;8;12/01/2022;6;125000;6861;cartao;;
134;2;12/01/2022;7;150000;1045;cartao;;
135;8;12/01/2022;24;127000;4257;carne;;
136;2;12/01/2022;1;3000000;6215;cartao;;
137;2;12/01/2022;6;125000;652;cartao;;
138;1;12/01/2022;11;4200000;7458;avista;;
139;1;13/01/2022;1;3000000;524;cheque;;
140;2;13/01/2022;23;210000;4199;avista;;
141;1;13/01/2022;12;123000;357;parcelado;;
142;1;13/01/2022;6;125000;2451;carne;;
143;8;13/01/2022;22;365000;1213;carne;;
144;8;13/01/2022;9;45000;6053;carne;;
145;2;13/01/2022;18;258000;3201;avista;;
146;8;13/01/2022;18;258000;3447;cheque;;
147;2;13/01/2022;18;258000;1257;cartao;;
148;2;13/01/2022;24;127000;6476;parcelado;;
149;1;13/01/2022;26;150000;5140;avista;;
150;8;14/01/2022;1;3000000;5260;carne;;
151;2;14/01/2022;17;365300;7576;cartao;;
152;8;14/01/2022;25;17500;396;avista;;
153;8;14/01/2022;6;125000;5626;avista;;
154;1;14/01/2022;19;32500;1173;cartao;;
155;8;14/01/2022;15;422000;5234;avista;;
156;2;14/01/2022;8;19000;717;carne;;
157;2;14/01/2022;25;17500;955;parcelado;;
158;8;14/01/2022;20;30000;647;avista;;
159;2;14/01/2022;21;125000;4617;carne;;
160;1;14/01/2022;9;45000;1685;cartao;;
161;8;14/01/2022;18;258000;4107;parcelado;;
162;8;14/01/2022;19;32500;5319;cheque;;
163;8;14/01/2022;8;19000;2880;parcelado;;
164;2;14/01/2022;4;450000;1759;cheque;;
165;2;14/01/2022;14;17000;6237;cartao;;
166;2;15/01/2022;13;1200000;2831;carne;;
167;8;15/01/2022;26;150000;4234;cartao;;
168;2;15/01/2022;27;98000;2518;parcelado;;
169;2;15/01/2022;30;530000;7227;cheque;;
170;8;15/01/2022;6;125000;2368;parcelado;;
171;2;15/01/2022;22;365000;3042;cartao;;
172;1;15/01/2022;11;4200000;5468;cartao;;
173;2;15/01/2022;10;3500000;2236;carne;;
174;8;15/01/2022;5;200000;4898;avista;;
175;8;15/01/2022;26;150000;6311;cartao;;
176;1;16/01/2022;21;125000;3766;parcelado;;
177;1;16/01/2022;17;365300;1556;carne;;
178;8;16/01/2022;26;150000;3559;parcelado;;
179;2;16/01/2022;7;150000;6384;avista;;
180;8;16/01/2022;16;120000;2269;parcelado;;
181;1;16/01/2022;2;300000;1109;parcelado;;
182;8;16/01/2022;27;98000;3715;avista;;
183;1;16/01/2022;26;150000;7303;carne;;
184;1;16/01/2022;2;300000;3262;cheque;;
185;1;17/01/2022;3;20000;4292;cheque;;
186;8;17/01/2022;2;300000;2289;avista;;
187;1;17/01/2022;13;1200000;1424;cheque;;
188;2;17/01/2022;23;210000;938;parcelado;;
189;8;17/01/2022;23;210000;7358;parcelado;;
190;1;17/01/2022;22;365000;5350;carne;;
191;1;17/01/2022;7;150000;2357;parcelado;;
192;8;17/01/2022;23;210000;120;cheque;;
193;8;18/01/2022;27;98000;6898;cheque;;
194;1;18/01/2022;24;127000;5669;cartao;;
195;2;18/01/2022;19;32500;6774;parcelado;;
196;1;18/01/2022;11;4200000;1445;carne;;
197;1;18/01/2022;13;1200000;7672;avista;;
198;8;18/01/2022;2;300000;408;carne;;
199;8;18/01/2022;17;365300;4296;cartao;;
200;8;18/01/2022;16;120000;1940;parcelado;;
201;8;18/01/2022;5;200000;976;avista;;
202;2;18/01/2022;16;120000;6087;cheque;;
203;2;19/01/2022;25;17500;6859;cheque;;
204;2;19/01/2022;3;20000;4108;carne;;
205;2;19/01/2022;19;32500;2339;carne;;
206;1;19/01/2022;16;120000;4253;parcelado;;
207;2;19/01/2022;13;1200000;1031;parcelado;;
208;8;19/01/2022;10;3500000;3701;parcelado;;
209;2;19/01/2022;2;300000;2776;avista;;
210;1;20/01/2022;21;125000;6272;avista;;
211;8;20/01/2022;5;200000;6676;avista;;
212;8;20/01/2022;4;450000;3871;carne;;
213;2;20/01/2022;22;365000;6129;cartao;;
214;1;20/01/2022;11;4200000;7389;cartao;;
215;8;20/01/2022;5;200000;7349;parcelado;;
216;8;20/01/2022;25;17500;4863;carne;;
217;8;20/01/2022;17;365300;470;cheque;;
218;2;20/01/2022;13;1200000;6754;parcelado;;
219;2;20/01/2022;27;98000;6487;cheque;;
220;2;20/01/2022;11;4200000;4647;cheque;;
221;8;20/01/2022;19;32500;489;parcelado;;
222;8;21/01/2022;16;120000;4417;avista;;
223;2;21/01/2022;28;41000;934;avista;;
224;1;21/01/2022;30;530000;1568;avista;;
225;1;21/01/2022;6;125000;4491;cheque;;
226;1;21/01/2022;23;210000;3889;cheque;;
227;8;21/01/2022;5;200000;5876;cheque;;
228;1;21/01/2022;14;17000;363;carne;;
229;1;21/01/2022;7;150000;7409;carne;;
230;1;21/01/2022;13;1200000;5668;parcelado;;
231;8;21/01/2022;5;200000;166;cartao;;
232;1;21/01/2022;4;450000;299;cheque;;
233;8;21/01/2022;11;4200000;4568;avista;;
234;8;21/01/2022;15;422000;7094;cheque;;
235;1;21/01/2022;15;422000;1082;avista;;
236;8;21/01/2022;6;125000;6699;parcelado;;
237;1;21/01/2022;18;258000;326;carne;;
238;2;21/01/2022;22;365000;999;cheque;;
239;2;21/01/2022;5;200000;646;avista;;
240;1;22/01/2022;15;422000;4315;avista;;
241;1;22/01/2022;13;1200000;4421;parcelado;;
242;1;22/01/2022;12;123000;5867;cartao;;
243;8;22/01/2022;17;365300;3430;parcelado;;
244;2;22/01/2022;20;30000;3073;avista;;
245;1;22/01/2022;10;3500000;2775;cartao;;
246;1;22/01/2022;3;20000;2696;cheque;;
247;1;23/01/2022;10;3500000;3772;avista;;
248;8;23/01/2022;3;20000;6428;carne;;
249;8;23/01/2022;17;365300;3675;parcelado;;
250;8;23/01/2022;20;30000;5057;cartao;;
251;8;23/01/2022;25;17500;4826;parcelado;;
252;1;23/01/2022;8;19000;3873;parcelado;;
253;8;23/01/2022;23;210000;7305;carne;;
254;2;23/01/2022;10;3500000;4432;carne;;
255;1;24/01/2022;21;125000;5728;parcelado;;
256;8;24/01/2022;15;422000;5710;cartao;;
257;1;24/01/2022;1;3000000;6598;carne;;
258;1;25/01/2022;5;200000;4056;carne;;
259;2;25/01/2022;23;210000;1834;cartao;;
260;2;25/01/2022;15;422000;5535;cartao;;
261;8;25/01/2022;16;120000;3271;avista;;
262;8;25/01/2022;3;20000;3796;cheque;;
263;8;25/01/2022;5;200000;181;cartao;;
264;1;25/01/2022;11;4200000;6910;parcelado;;
265;2;25/01/2022;26;150000;4946;parcelado;;
266;2;25/01/2022;20;30000;3420;avista;;
267;1;25/01/2022;25;17500;1779;cheque;;
268;2;25/01/2022;21;125000;3046;avista;;
269;1;25/01/2022;12;123000;4568;cartao;;
270;8;25/01/2022;11;4200000;4838;cartao;;
271;1;25/01/2022;9;45000;4155;cheque;;
272;2;25/01/2022;17;365300;2520;parcelado;;
273;2;26/01/2022;6;125000;6770;avista;;
274;8;26/01/2022;9;45000;1730;parcelado;;
275;2;26/01/2022;23;210000;270;carne;;
276;2;26/01/2022;14;17000;2385;carne;;
277;1;26/01/2022;3;20000;78;cheque;;
278;2;26/01/2022;4;450000;7599;cheque;;
279;8;26/01/2022;24;127000;5359;parcelado;;
280;8;26/01/2022;1;3000000;5133;cheque;;
281;1;26/01/2022;20;30000;3133;cheque;;
282;2;26/01/2022;21;125000;3093;parcelado;;
283;2;27/01/2022;1;3000000;1852;parcelado;;
284;2;27/01/2022;26;150000;1023;carne;;
285;8;27/01/2022;2;300000;2945;parcelado;;
286;8;27/01/2022;9;45000;5508;cheque;;
287;8;27/01/2022;13;1200000;5913;cheque;;
288;2;27/01/2022;28;41000;4264;carne;;
289;8;27/01/2022;4;450000;1529;cheque;;
290;2;27/01/2022;14;17000;2936;avista;;
291;8;27/01/2022;23;210000;1499;carne;;
292;1;27/01/2022;2;300000;1702;carne;;
293;1;27/01/2022;30;530000;168;parcelado;;
294;1;27/01/2022;23;210000;3135;cartao;;
295;8;28/01/2022;15;422000;7677;avista;;
296;1;28/01/2022;24;127000;3688;cheque;;
297;8;28/01/2022;21;125000;1480;avista;;
298;8;28/01/2022;19;32500;6974;avista;;
299;2;28/01/2022;10;3500000;6889;avista;;
300;8;28/01/2022;28;41000;1912;carne;;
301;8;28/01/2022;18;258000;1818;parcelado;;
302;1;28/01/2022;11;4200000;5342;cartao;;
303;8;29/01/2022;17;365300;3998;cheque;;
304;2;29/01/2022;8;19000;812;parcelado;;
305;1;29/01/2022;16;120000;2363;cheque;;
306;2;29/01/2022;19;32500;3606;cartao;;
307;8;30/01/2022;25;17500;4555;cheque;;
308;1;30/01/2022;25;17500;4505;avista;;
309;1;30/01/2022;4;450000;4105;avista;;
310;1;30/01/2022;2;300000;515;avista;;
311;2;30/01/2022;4;450000;6011;avista;;
312;1;30/01/2022;21;125000;5102;carne;;
313;8;30/01/2022;1;3000000;5117;cartao;;
314;1;31/01/2022;5;200000;3881;cheque;;
315;2;31/01/2022;12;123000;5584;carne;;
316;8;31/01/2022;21;125000;784;cartao;;
317;2;31/01/2022;28;41000;3742;avista;;
318;8;31/01/2022;7;150000;4571;avista;;
319;8;31/01/2022;6;125000;1565;cheque;;
320;2;31/01/2022;25;17500;1041;parcelado;;
321;8;31/01/2022;7;150000;303;cartao;;
322;8;31/01/2022;10;3500000;3495;carne;;
323;1;31/01/2022;15;422000;2329;parcelado;;
324;2;31/01/2022;28;41000;1355;parcelado;;
325;1;31/01/2022;2;300000;622;parcelado;;
326;1;31/01/2022;7;150000;1405;parcelado;;
327;8;01/02/2022;19;32500;4465;parcelado;;
328;1;01/02/2022;4;450000;3665;cartao;;
329;1;01/02/2022;26;150000;70;parcelado;;
330;8;01/02/2022;20;30000;6892;parcelado;;
331;8;01/02/2022;5;200000;543;avista;;
332;8;01/02/2022;5;200000;2060;cartao;;
333;1;01/02/2022;8;19000;3363;cheque;;
334;8;01/02/2022;19;32500;4189;cartao;;
335;8;02/02/2022;29;450000;5922;cheque;;
336;1;02/02/2022;17;365300;6040;carne;;
337;8;02/02/2022;2;300000;1859;cheque;;
338;1;02/02/2022;13;1200000;5206;carne;;
339;8;02/02/2022;17;365300;3672;parcelado;;
340;2;02/02/2022;10;3500000;6551;cheque;;
341;1;02/02/2022;5;200000;5480;carne;;
342;1;02/02/2022;29;450000;6684;avista;;
343;1;02/02/2022;19;32500;1915;parcelado;;
344;1;02/02/2022;13;1200000;1505;cartao;;
345;1;03/02/2022;15;422000;2585;carne;;
346;2;03/02/2022;22;365000;2806;cartao;;
347;8;03/02/2022;25;17500;3735;cheque;;
348;2;03/02/2022;22;365000;4556;parcelado;;
349;8;03/02/2022;10;3500000;1386;cartao;;
350;8;03/02/2022;29;450000;7246;parcelado;;
351;2;03/02/2022;15;422000;4085;cartao;;
352;1;03/02/2022;24;127000;3527;cheque;;
353;8;03/02/2022;21;125000;7428;parcelado;;
354;8;03/02/2022;4;450000;6668;avista;;
355;1;03/02/2022;8;19000;4841;avista;;
356;1;03/02/2022;11;4200000;4698;cheque;;
357;1;03/02/2022;28;41000;7624;carne;;
358;1;04/02/2022;27;98000;2455;carne;;
359;8;04/02/2022;8;19000;1568;cheque;;
360;2;04/02/2022;5;200000;2037;cheque;;
361;8;04/02/2022;3;20000;427;avista;;
362;1;04/02/2022;16;120000;1670;cartao;;
363;2;04/02/2022;22;365000;3591;cheque;;
364;8;04/02/2022;9;45000;6116;cartao;;
365;2;04/02/2022;30;530000;141;parcelado;;
366;2;05/02/2022;11;4200000;5708;cheque;;
367;1;05/02/2022;19;32500;3587;cartao;;
368;1;05/02/2022;6;125000;6226;cheque;;
369;1;05/02/2022;19;32500;5321;avista;;
370;2;05/02/2022;19;32500;1382;avista;;
371;2;05/02/2022;28;41000;7537;parcelado;;
372;8;05/02/2022;29;450000;7540;cheque;;
373;8;05/02/2022;26;150000;7558;carne;;
374;1;05/02/2022;16;120000;2988;carne;;
375;1;05/02/2022;17;365300;2249;carne;;
376;2;05/02/2022;7;150000;3463;avista;;
377;1;05/02/2022;10;3500000;4312;cheque;;
378;1;06/02/2022;14;17000;4953;cheque;;
379;1;06/02/2022;3;20000;4017;cartao;;
380;1;06/02/2022;3;20000;6943;avista;;
381;2;06/02/2022;1;3000000;2854;carne;;
382;2;06/02/2022;25;17500;4805;parcelado;;
383;1;06/02/2022;7;150000;2175;cheque;;
384;8;06/02/2022;24;127000;1008;avista;;
385;2;06/02/2022;9;45000;2086;avista;;
386;8;07/02/2022;13;1200000;5799;avista;;
387;8;07/02/2022;22;365000;424;cartao;;
388;2;07/02/2022;12;123000;751;cartao;;
389;2;07/02/2022;11;4200000;7514;carne;;
390;8;07/02/2022;3;20000;6883;parcelado;;
391;8;07/02/2022;5;200000;6392;avista;;
392;1;07/02/2022;17;365300;7295;cheque;;
393;1;07/02/2022;14;17000;4057;parcelado;;
394;2;07/02/2022;18;258000;2220;avista;;
395;1;07/02/2022;23;210000;2575;avista;;
396;1;07/02/2022;15;422000;3492;cartao;;
397;1;07/02/2022;21;125000;5501;cartao;;
398;2;07/02/2022;17;365300;4815;parcelado;;
399;8;07/02/2022;3;20000;1195;parcelado;;
400;2;07/02/2022;3;20000;1279;cartao;;
401;2;08/02/2022;12;123000;6397;cheque;;
402;2;08/02/2022;14;17000;6466;parcelado;;
403;8;08/02/2022;15;422000;6667;avista;;
404;8;08/02/2022;4;450000;3697;parcelado;;
405;8;08/02/2022;10;3500000;7273;parcelado;;
406;8;08/02/2022;20;30000;7529;parcelado;;
407;1;08/02/2022;28;41000;1330;carne;;
408;8;08/02/2022;21;125000;6226;carne;;
409;2;08/02/2022;7;150000;5922;parcelado;;
410;1;08/02/2022;7;150000;5108;cheque;;
411;8;08/02/2022;3;20000;1186;carne;;
412;8;09/02/2022;22;365000;1717;cartao;;
413;8;09/02/2022;26;150000;5219;avista;;
414;8;09/02/2022;27;98000;6905;avista;;
415;1;09/02/2022;8;19000;3617;cheque;;
416;1;09/02/2022;19;32500;94;cheque;;
417;2;09/02/2022;19;32500;6517;cheque;;
418;2;09/02/2022;16;120000;7031;avista;;
419;2;09/02/2022;23;210000;6894;carne;;
420;2;09/02/2022;6;125000;6492;parcelado;;
421;1;09/02/2022;22;365000;905;carne;;
422;8;09/02/2022;2;300000;7558;cheque;;
423;8;09/02/2022;16;120000;7366;cartao;;
424;2;09/02/2022;27;98000;4953;parcelado;;
425;8;09/02/2022;29;450000;4656;cheque;;
426;1;09/02/2022;18;258000;1485;avista;;
427;8;09/02/2022;27;98000;7431;cheque;;
428;8;10/02/2022;14;17000;3194;parcelado;;
429;8;10/02/2022;20;30000;2246;parcelado;;
430;1;10/02/2022;30;530000;259;cartao;;
431;1;10/02/2022;21;125000;2012;carne;;
432;2;10/02/2022;6;125000;3084;carne;;
433;2;10/02/2022;18;258000;5695;avista;;
434;1;10/02/2022;25;17500;7590;cheque;;
435;8;10/02/2022;18;258000;1809;carne;;
436;8;10/02/2022;12;123000;7320;cartao;;
437;8;10/02/2022;12;123000;4034;cartao;;
438;2;10/02/2022;24;127000;2131;cartao;;
439;2;11/02/2022;8;19000;4854;carne;;
440;1;11/02/2022;8;19000;4895;cartao;;
441;1;11/02/2022;25;17500;7445;parcelado;;
442;8;11/02/2022;5;200000;2812;carne;;
443;2;11/02/2022;4;450000;961;parcelado;;
444;1;11/02/2022;24;127000;7092;parcelado;;
445;2;11/02/2022;2;300000;5249;carne;;
446;1;11/02/2022;30;530000;2065;cartao;;
447;1;11/02/2022;27;98000;1717;cheque;;
448;1;11/02/2022;4;450000;284;avista;;
449;1;12/02/2022;12;123000;2408;parcelado;;
450;2;12/02/2022;23;210000;4152;cartao;;
451;2;12/02/2022;17;365300;463;carne;;
452;2;12/02/2022;8;19000;4185;cheque;;
453;8;12/02/2022;17;365300;7733;cheque;;
454;1;12/02/2022;25;17500;456;parcelado;;
455;8;12/02/2022;8;19000;7659;avista;;
456;1;12/02/2022;5;200000;5639;avista;;
457;8;12/02/2022;29;450000;1162;cheque;;
458;8;12/02/2022;30;530000;4921;cartao;;
459;1;13/02/2022;7;150000;7647;cartao;;
460;1;13/02/2022;24;127000;7283;carne;;
461;2;13/02/2022;21;125000;3321;avista;;
462;2;13/02/2022;29;450000;3580;avista;;
463;1;13/02/2022;2;300000;385;avista;;
464;1;13/02/2022;10;3500000;4358;carne;;
465;1;13/02/2022;8;19000;951;cartao;;
466;2;14/02/2022;26;150000;4814;cartao;;
467;2;14/02/2022;14;17000;4497;parcelado;;
468;8;14/02/2022;22;365000;2329;cartao;;
469;8;14/02/2022;19;32500;6105;avista;;
470;1;14/02/2022;3;20000;6743;parcelado;;
471;1;14/02/2022;11;4200000;2818;avista;;
472;2;14/02/2022;20;30000;7198;cartao;;
473;2;14/02/2022;27;98000;4221;cartao;;
474;1;14/02/2022;17;365300;663;avista;;
475;2;14/02/2022;25;17500;4860;cheque;;
476;8;14/02/2022;4;450000;7334;cheque;;
477;8;14/02/2022;27;98000;4253;cartao;;
478;8;14/02/2022;15;422000;3418;avista;;
479;8;14/02/2022;23;210000;4267;parcelado;;
480;2;14/02/2022;11;4200000;7219;avista;;
481;2;15/02/2022;17;365300;1334;parcelado;;
482;1;15/02/2022;4;450000;1943;cheque;;
483;8;15/02/2022;27;98000;5091;cheque;;
484;2;15/02/2022;7;150000;2486;avista;;
485;2;15/02/2022;11;4200000;4271;cartao;;
486;2;15/02/2022;14;17000;4818;parcelado;;
487;1;15/02/2022;15;422000;3186;cheque;;
488;8;15/02/2022;6;125000;5737;avista;;
489;8;15/02/2022;7;150000;6091;parcelado;;
490;2;15/02/2022;8;19000;3193;avista;;
491;8;15/02/2022;25;17500;4311;cartao;;
492;2;15/02/2022;24;127000;1330;cheque;;
493;8;15/02/2022;9;45000;7296;cheque;;
494;2;15/02/2022;2;300000;1288;avista;;
495;1;16/02/2022;9;45000;874;cheque;;
496;1;16/02/2022;29;450000;2098;cheque;;
497;8;16/02/2022;9;45000;5823;avista;;
498;1;16/02/2022;13;1200000;4073;avista;;
499;1;16/02/2022;5;200000;2613;cheque;;
500;2;16/02/2022;26;150000;5772;avista;;
501;2;16/02/2022;17;365300;6342;parcelado;;
502;2;16/02/2022;20;30000;628;parcelado;;
503;2;16/02/2022;19;32500;2655;cartao;;
504;8;16/02/2022;11;4200000;3593;carne;;
505;1;16/02/2022;5;200000;4886;cheque;;
506;8;16/02/2022;30;530000;6665;cartao;;
507;8;16/02/2022;15;422000;822;avista;;
508;1;16/02/2022;30;530000;7637;parcelado;;
509;1;17/02/2022;15;422000;4527;carne;;
510;1;17/02/2022;30;530000;4751;carne;;
511;2;17/02/2022;16;120000;1035;parcelado;;
512;8;17/02/2022;30;530000;1438;cheque;;
513;1;17/02/2022;7;150000;1005;cheque;;
514;1;17/02/2022;14;17000;785;cartao;;
515;1;17/02/2022;6;125000;7546;cheque;;
516;1;17/02/2022;8;19000;98;cartao;;
517;8;17/02/2022;30;530000;3505;avista;;
518;2;17/02/2022;25;17500;7496;cartao;;
519;8;17/02/2022;21;125000;1940;cartao;;
520;8;18/02/2022;23;210000;4184;cartao;;
521;8;18/02/2022;30;530000;2760;cartao;;
522;2;18/02/2022;1;3000000;41;carne;;
523;2;18/02/2022;24;127000;1523;cartao;;
524;8;18/02/2022;17;365300;2889;parcelado;;
525;1;18/02/2022;4;450000;6152;cartao;;
526;8;18/02/2022;9;45000;2528;carne;;
527;8;18/02/2022;22;365000;5799;cartao;;
528;8;18/02/2022;29;450000;3707;cheque;;
529;1;19/02/2022;11;4200000;4765;carne;;
530;1;19/02/2022;29;450000;2716;carne;;
531;2;19/02/2022;6;125000;1399;cartao;;
532;8;19/02/2022;14;17000;3844;carne;;
533;2;19/02/2022;2;300000;715;parcelado;;
534;1;19/02/2022;9;45000;2283;cartao;;
535;1;19/02/2022;29;450000;6588;carne;;
536;2;19/02/2022;3;20000;6668;cartao;;
537;1;20/02/2022;6;125000;2967;parcelado;;
538;2;20/02/2022;25;17500;3107;avista;;
539;8;20/02/2022;13;1200000;2072;cheque;;
540;2;20/02/2022;15;422000;3762;carne;;
541;1;20/02/2022;23;210000;2585;cheque;;
542;8;21/02/2022;11;4200000;6913;cheque;;
543;2;21/02/2022;13;1200000;7462;cheque;;
544;8;21/02/2022;12;123000;6070;carne;;
545;2;21/02/2022;4;450000;5137;parcelado;;
546;8;21/02/2022;3;20000;2749;parcelado;;
547;2;21/02/2022;28;41000;6107;carne;;
548;2;21/02/2022;20;30000;3459;avista;;
549;2;21/02/2022;17;365300;5886;avista;;
550;8;21/02/2022;6;125000;1329;avista;;
551;8;21/02/2022;18;258000;432;parcelado;;
552;1;21/02/2022;25;17500;2882;avista;;
553;1;21/02/2022;25;17500;1772;avista;;
554;1;21/02/2022;8;19000;2590;carne;;
555;2;21/02/2022;6;125000;6901;cheque;;
556;8;21/02/2022;25;17500;4278;parcelado;;
557;1;21/02/2022;13;1200000;3119;carne;;
558;1;21/02/2022;26;150000;5648;cartao;;
559;1;21/02/2022;19;32500;1052;avista;;
560;2;22/02/2022;20;30000;186;parcelado;;
